waypoint1	waypoint2	distance_m	duration_s
Toltec Mounds, Scott, AR	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2483410	85261
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Bryce Canyon National Park, Hwy 63, Bryce, UT	1822353	64076
Wright Brothers National Memorial Visitor Center, Manteo, NC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3827527	127594
Bryce Canyon National Park, Hwy 63, Bryce, UT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2609377	86714
Toltec Mounds, Scott, AR	Vicksburg National Military Park, Clay Street, Vicksburg, MS	341847	13416
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2172483	73264
Toltec Mounds, Scott, AR	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	601018	20282
Mount Vernon, Fairfax County, Virginia	Shelburne Farms, Harbor Road, Shelburne, VT	837257	31482
Cape Canaveral, FL	Congress Hall, Congress Place, Cape May, NJ 08204	1694504	56326
Maryland State House, 100 State Cir, Annapolis, MD 21401	Bryce Canyon National Park, Hwy 63, Bryce, UT	3575035	119782
Maryland State House, 100 State Cir, Annapolis, MD 21401	Statue of Liberty, Liberty Island, NYC, NY	339346	11907
Maryland State House, 100 State Cir, Annapolis, MD 21401	Acadia National Park, Maine	1125424	39759
Liberty Bell, 6th Street, Philadelphia, PA	Carlsbad Caverns National Park, Carlsbad, NM	3128300	103946
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Columbia River Gorge National Scenic Area, Oregon	4666293	153779
Toltec Mounds, Scott, AR	Cape Canaveral, FL	1612894	52419
White House, Pennsylvania Avenue Northwest, Washington, DC	The Alamo, Alamo Plaza, San Antonio, TX	2577332	84124
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Bryce Canyon National Park, Hwy 63, Bryce, UT	2676508	89943
New Castle Historic District, Delaware	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1813933	59935
Maryland State House, 100 State Cir, Annapolis, MD 21401	Fort Sumter National Monument, Sullivan's Island, SC	911385	30050
Pikes Peak, Colorado	Olympia Entertainment, Woodward Avenue, Detroit, MI	2199094	72441
Toltec Mounds, Scott, AR	Statue of Liberty, Liberty Island, NYC, NY	1967957	65484
Olympia Entertainment, Woodward Avenue, Detroit, MI	French Quarter, New Orleans, LA	1711197	55749
Hoover Dam, NV	Gateway Arch, Washington Avenue, St Louis, MO	2548469	82664
Hanford Site, Benton County, WA	White House, Pennsylvania Avenue Northwest, Washington, DC	4241430	140688
Mount Vernon, Fairfax County, Virginia	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1643998	54620
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Fort Snelling, Tower Avenue, Saint Paul, MN	2245100	73539
Lost World Caverns, Lewisburg, WV	The Alamo, Alamo Plaza, San Antonio, TX	2282265	74713
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Alamo, Alamo Plaza, San Antonio, TX	641192	21783
Wright Brothers National Memorial Visitor Center, Manteo, NC	New Castle Historic District, Delaware	502231	21233
Fort Sumter National Monument, Sullivan's Island, SC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1081096	37267
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Fort Sumter National Monument, Sullivan's Island, SC	1406677	47685
New Castle Historic District, Delaware	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4650978	152521
Lost World Caverns, Lewisburg, WV	White House, Pennsylvania Avenue Northwest, Washington, DC	417938	14609
Pikes Peak, Colorado	Fort Sumter National Monument, Sullivan's Island, SC	2767400	92220
San Andreas Fault, San Benito County, CA	Pikes Peak, Colorado	1838418	66308
Hanford Site, Benton County, WA	Fort Snelling, Tower Avenue, Saint Paul, MN	2481560	81914
Hanford Site, Benton County, WA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	3594122	118255
Maryland State House, 100 State Cir, Annapolis, MD 21401	Columbia River Gorge National Scenic Area, Oregon	4397797	144796
USS Alabama, Battleship Parkway, Mobile, AL	Mount Vernon, Fairfax County, Virginia	1529799	50426
Taliesin, County Road C, Spring Green, Wisconsin	Bryce Canyon National Park, Hwy 63, Bryce, UT	2367174	79027
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Olympia Entertainment, Woodward Avenue, Detroit, MI	1249559	41545
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Grand Canyon National Park, Arizona	1677402	59173
Olympia Entertainment, Woodward Avenue, Detroit, MI	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	618638	22786
Craters of the Moon National Monument & Preserve, Arco, ID	Gateway Arch, Washington Avenue, St Louis, MO	2452166	85619
Maryland State House, 100 State Cir, Annapolis, MD 21401	Gateway Arch, Washington Avenue, St Louis, MO	1353745	46385
Congress Hall, Congress Place, Cape May, NJ 08204	Statue of Liberty, Liberty Island, NYC, NY	247132	8714
Graceland, Elvis Presley Boulevard, Memphis, TN	Columbia River Gorge National Scenic Area, Oregon	3468820	115760
Terrace Hill, Grand Avenue, Des Moines, IA	Lost World Caverns, Lewisburg, WV	1453610	49063
Mount Vernon, Fairfax County, Virginia	San Andreas Fault, San Benito County, CA	4411068	146628
Wright Brothers National Memorial Visitor Center, Manteo, NC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1627321	56012
Glacier National Park, West Glacier, MT	Grand Canyon National Park, Arizona	1883491	64846
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Liberty Bell, 6th Street, Philadelphia, PA	2750715	94567
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Glacier National Park, West Glacier, MT	2375064	81578
Yellowstone National Park, WY 82190	Ashfall Fossil Bed, Royal, NE	1240172	47638
Cape Canaveral, FL	Olympia Entertainment, Woodward Avenue, Detroit, MI	1883288	63015
