waypoint1	waypoint2	distance_m	duration_s
Shelburne Farms, Harbor Road, Shelburne, VT	The Alamo, Alamo Plaza, San Antonio, TX	3215884	109980
Hoover Dam, NV	Fort Snelling, Tower Avenue, Saint Paul, MN	2717888	87983
Cape Canaveral, FL	Gateway Arch, Washington Avenue, St Louis, MO	1680547	53830
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Taliesin, County Road C, Spring Green, Wisconsin	760958	26043
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Hanford Site, Benton County, WA	1586907	54053
Shelburne Farms, Harbor Road, Shelburne, VT	White House, Pennsylvania Avenue Northwest, Washington, DC	821285	30446
Toltec Mounds, Scott, AR	Fort Sumter National Monument, Sullivan's Island, SC	1314710	44176
Shelburne Farms, Harbor Road, Shelburne, VT	San Andreas Fault, San Benito County, CA	4772749	162175
Craters of the Moon National Monument & Preserve, Arco, ID	New Castle Historic District, Delaware	3800451	130708
Shelburne Farms, Harbor Road, Shelburne, VT	Columbia River Gorge National Scenic Area, Oregon	4670760	157023
French Quarter, New Orleans, LA	Ashfall Fossil Bed, Royal, NE	1969780	66250
The Breakers, Ochre Point Avenue, Newport, RI	Olympia Entertainment, Woodward Avenue, Detroit, MI	1202394	41434
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1257706	42087
Mount Vernon, Fairfax County, Virginia	Ashfall Fossil Bed, Royal, NE	2122971	72172
Taliesin, County Road C, Spring Green, Wisconsin	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1500118	49446
Ashfall Fossil Bed, Royal, NE	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2583512	86971
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Congress Hall, Congress Place, Cape May, NJ 08204	441731	15946
The Breakers, Ochre Point Avenue, Newport, RI	Grand Canyon National Park, Arizona	4190652	138763
Shelburne Farms, Harbor Road, Shelburne, VT	Glacier National Park, West Glacier, MT	3964649	137309
Carlsbad Caverns National Park, Carlsbad, NM	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1351180	45193
Pikes Peak, Colorado	Grand Canyon National Park, Arizona	1011733	40581
Wright Brothers National Memorial Visitor Center, Manteo, NC	Pikes Peak, Colorado	2988774	100612
Craters of the Moon National Monument & Preserve, Arco, ID	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2438236	85514
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Wright Brothers National Memorial Visitor Center, Manteo, NC	890145	34583
USS Alabama, Battleship Parkway, Mobile, AL	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2478608	83408
Hanford Site, Benton County, WA	Fort Sumter National Monument, Sullivan's Island, SC	4461480	146862
Liberty Bell, 6th Street, Philadelphia, PA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1337116	44672
The Breakers, Ochre Point Avenue, Newport, RI	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1646830	57242
The Breakers, Ochre Point Avenue, Newport, RI	The Alamo, Alamo Plaza, San Antonio, TX	3221332	107389
Wright Brothers National Memorial Visitor Center, Manteo, NC	Congress Hall, Congress Place, Cape May, NJ 08204	427432	24141
Shelburne Farms, Harbor Road, Shelburne, VT	Carlsbad Caverns National Park, Carlsbad, NM	3452222	118768
Cape Canaveral, FL	Bryce Canyon National Park, Hwy 63, Bryce, UT	3738607	125663
Pikes Peak, Colorado	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1793647	61267
San Andreas Fault, San Benito County, CA	Lost World Caverns, Lewisburg, WV	4051028	134483
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	New Castle Historic District, Delaware	1874090	64027
Terrace Hill, Grand Avenue, Des Moines, IA	San Andreas Fault, San Benito County, CA	2821582	93463
Toltec Mounds, Scott, AR	Fort Snelling, Tower Avenue, Saint Paul, MN	1398922	45631
Craters of the Moon National Monument & Preserve, Arco, ID	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1234228	46427
The Breakers, Ochre Point Avenue, Newport, RI	Glacier National Park, West Glacier, MT	4087017	138487
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	New Castle Historic District, Delaware	384704	14016
Cape Canaveral, FL	Acadia National Park, Maine	2530824	84339
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Statue of Liberty, Liberty Island, NYC, NY	1963520	66712
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Craters of the Moon National Monument & Preserve, Arco, ID	1170954	47803
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Terrace Hill, Grand Avenue, Des Moines, IA	333373	11550
San Andreas Fault, San Benito County, CA	Wright Brothers National Memorial Visitor Center, Manteo, NC	4529294	151415
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Graceland, Elvis Presley Boulevard, Memphis, TN	793989	26512
Craters of the Moon National Monument & Preserve, Arco, ID	USS Constitution, Boston, MA	4137640	141263
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Olympia Entertainment, Woodward Avenue, Detroit, MI	1749364	58480
Yellowstone National Park, WY 82190	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2170322	76018
Glacier National Park, West Glacier, MT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2976750	103052
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1950898	67279
Congress Hall, Congress Place, Cape May, NJ 08204	Fort Sumter National Monument, Sullivan's Island, SC	1158724	40202
Shelburne Farms, Harbor Road, Shelburne, VT	Grand Canyon National Park, Arizona	4104009	138332
Hanford Site, Benton County, WA	USS Constitution, Boston, MA	4700870	155911
Graceland, Elvis Presley Boulevard, Memphis, TN	Hanford Site, Benton County, WA	3427615	115140
USS Constitution, Boston, MA	Ashfall Fossil Bed, Royal, NE	2564485	86688
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Shelburne Farms, Harbor Road, Shelburne, VT	3150822	108219
USS Alabama, Battleship Parkway, Mobile, AL	Statue of Liberty, Liberty Island, NYC, NY	1905256	63274
Taliesin, County Road C, Spring Green, Wisconsin	The Alamo, Alamo Plaza, San Antonio, TX	2047289	67018
The Breakers, Ochre Point Avenue, Newport, RI	French Quarter, New Orleans, LA	2390204	80417
Shelburne Farms, Harbor Road, Shelburne, VT	French Quarter, New Orleans, LA	2525978	85101
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	San Andreas Fault, San Benito County, CA	3608927	120217
Terrace Hill, Grand Avenue, Des Moines, IA	The Breakers, Ochre Point Avenue, Newport, RI	2075913	70434
Graceland, Elvis Presley Boulevard, Memphis, TN	New Castle Historic District, Delaware	1590311	53080
San Andreas Fault, San Benito County, CA	Glacier National Park, West Glacier, MT	2268026	76868
Terrace Hill, Grand Avenue, Des Moines, IA	Shelburne Farms, Harbor Road, Shelburne, VT	1953545	69256
Gateway Arch, Washington Avenue, St Louis, MO	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1319424	43856
Liberty Bell, 6th Street, Philadelphia, PA	Statue of Liberty, Liberty Island, NYC, NY	148085	5683
Carlsbad Caverns National Park, Carlsbad, NM	USS Constitution, Boston, MA	3575822	119876
San Andreas Fault, San Benito County, CA	Fort Snelling, Tower Avenue, Saint Paul, MN	3211969	105994
Wright Brothers National Memorial Visitor Center, Manteo, NC	White House, Pennsylvania Avenue Northwest, Washington, DC	441589	16330
Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3289005	108178
Toltec Mounds, Scott, AR	Graceland, Elvis Presley Boulevard, Memphis, TN	221451	7746
Statue of Liberty, Liberty Island, NYC, NY	Gateway Arch, Washington Avenue, St Louis, MO	1523857	51921
Graceland, Elvis Presley Boulevard, Memphis, TN	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1963505	65732
Mount Vernon, Fairfax County, Virginia	Grand Canyon National Park, Arizona	3688395	120470
Wright Brothers National Memorial Visitor Center, Manteo, NC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4892853	161465
USS Constitution, Boston, MA	French Quarter, New Orleans, LA	2442601	81569
White House, Pennsylvania Avenue Northwest, Washington, DC	Statue of Liberty, Liberty Island, NYC, NY	360350	12968
Ashfall Fossil Bed, Royal, NE	Glacier National Park, West Glacier, MT	1736541	64146
Terrace Hill, Grand Avenue, Des Moines, IA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2891217	94055
Carlsbad Caverns National Park, Carlsbad, NM	Glacier National Park, West Glacier, MT	2524851	84769
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	New Castle Historic District, Delaware	2301501	78470
Hoover Dam, NV	Statue of Liberty, Liberty Island, NYC, NY	4071292	134034
Shelburne Farms, Harbor Road, Shelburne, VT	Bryce Canyon National Park, Hwy 63, Bryce, UT	3889017	133117
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	French Quarter, New Orleans, LA	1417399	48731
USS Alabama, Battleship Parkway, Mobile, AL	Terrace Hill, Grand Avenue, Des Moines, IA	1586436	55681
Hanford Site, Benton County, WA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	4405088	145265
French Quarter, New Orleans, LA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1196684	39233
Hoover Dam, NV	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2702369	87810
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	French Quarter, New Orleans, LA	2293097	76110
Hanford Site, Benton County, WA	Cape Canaveral, FL	4766212	155239
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	White House, Pennsylvania Avenue Northwest, Washington, DC	2653155	91625
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Olympia Entertainment, Woodward Avenue, Detroit, MI	1221589	42339
Carlsbad Caverns National Park, Carlsbad, NM	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2258425	79321
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Grand Canyon National Park, Arizona	2278471	74245
USS Constitution, Boston, MA	Olympia Entertainment, Woodward Avenue, Detroit, MI	1146063	39496
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Wright Brothers National Memorial Visitor Center, Manteo, NC	2310630	77685
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Grand Canyon National Park, Arizona	1609879	54159
Mount Vernon, Fairfax County, Virginia	Fort Sumter National Monument, Sullivan's Island, SC	833954	27306
Statue of Liberty, Liberty Island, NYC, NY	The Alamo, Alamo Plaza, San Antonio, TX	2925414	95793
Hanford Site, Benton County, WA	Acadia National Park, Maine	5133463	171191
USS Alabama, Battleship Parkway, Mobile, AL	The Alamo, Alamo Plaza, San Antonio, TX	1069458	34721
Columbia River Gorge National Scenic Area, Oregon	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3506917	115608
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1509188	53060
Liberty Bell, 6th Street, Philadelphia, PA	Lost World Caverns, Lewisburg, WV	638813	22091
USS Alabama, Battleship Parkway, Mobile, AL	Bryce Canyon National Park, Hwy 63, Bryce, UT	2861780	98209
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	993576	33383
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Yellowstone National Park, WY 82190	2710684	92309
Hoover Dam, NV	San Andreas Fault, San Benito County, CA	574245	22602
Gateway Arch, Washington Avenue, St Louis, MO	Glacier National Park, West Glacier, MT	2760566	94913
Mount Vernon, Fairfax County, Virginia	Bryce Canyon National Park, Hwy 63, Bryce, UT	3556044	119054
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Ashfall Fossil Bed, Royal, NE	2637718	91905
Bryce Canyon National Park, Hwy 63, Bryce, UT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1328601	44667
San Andreas Fault, San Benito County, CA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	4020719	134964
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Taliesin, County Road C, Spring Green, Wisconsin	1437801	47200
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Snelling, Tower Avenue, Saint Paul, MN	1397344	45245
Hoover Dam, NV	USS Constitution, Boston, MA	4426927	145478
Liberty Bell, 6th Street, Philadelphia, PA	White House, Pennsylvania Avenue Northwest, Washington, DC	227320	8721
Gateway Arch, Washington Avenue, St Louis, MO	Fort Snelling, Tower Avenue, Saint Paul, MN	851128	30462
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Glacier National Park, West Glacier, MT	4189043	143755
Fort Snelling, Tower Avenue, Saint Paul, MN	Grand Canyon National Park, Arizona	2554962	85075
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Gateway Arch, Washington Avenue, St Louis, MO	553914	18593
Congress Hall, Congress Place, Cape May, NJ 08204	Grand Canyon National Park, Arizona	3904515	128731
Vicksburg National Military Park, Clay Street, Vicksburg, MS	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1049702	34519
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Congress Hall, Congress Place, Cape May, NJ 08204	2011837	68054
Statue of Liberty, Liberty Island, NYC, NY	Bryce Canyon National Park, Hwy 63, Bryce, UT	3730537	124442
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1557986	52812
Taliesin, County Road C, Spring Green, Wisconsin	Yellowstone National Park, WY 82190	2074851	71700
Shelburne Farms, Harbor Road, Shelburne, VT	The Breakers, Ochre Point Avenue, Newport, RI	469417	17255
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	French Quarter, New Orleans, LA	3025375	99368
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	New Castle Historic District, Delaware	1209665	40834
San Andreas Fault, San Benito County, CA	Acadia National Park, Maine	5349926	178323
Toltec Mounds, Scott, AR	Terrace Hill, Grand Avenue, Des Moines, IA	1007291	33121
Toltec Mounds, Scott, AR	Wright Brothers National Memorial Visitor Center, Manteo, NC	1739137	58874
Toltec Mounds, Scott, AR	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	842382	27963
Pikes Peak, Colorado	Glacier National Park, West Glacier, MT	1715616	60721
USS Constitution, Boston, MA	The Alamo, Alamo Plaza, San Antonio, TX	3287911	108294
Terrace Hill, Grand Avenue, Des Moines, IA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	546131	18308
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1180228	39617
Hanford Site, Benton County, WA	Carlsbad Caverns National Park, Carlsbad, NM	2470298	84985
USS Alabama, Battleship Parkway, Mobile, AL	Gateway Arch, Washington Avenue, St Louis, MO	1046415	36859
Columbia River Gorge National Scenic Area, Oregon	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1057858	37114
New Castle Historic District, Delaware	USS Constitution, Boston, MA	540249	19440
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2960599	113196
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Pikes Peak, Colorado	746628	27826
Olympia Entertainment, Woodward Avenue, Detroit, MI	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3855414	125453
Craters of the Moon National Monument & Preserve, Arco, ID	The Alamo, Alamo Plaza, San Antonio, TX	2596586	92974
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2960514	101714
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Shelburne Farms, Harbor Road, Shelburne, VT	2964457	105450
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	USS Constitution, Boston, MA	1733774	58515
Graceland, Elvis Presley Boulevard, Memphis, TN	The Alamo, Alamo Plaza, San Antonio, TX	1180501	39298
Toltec Mounds, Scott, AR	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	685853	23211
USS Alabama, Battleship Parkway, Mobile, AL	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1057202	34663
Carlsbad Caverns National Park, Carlsbad, NM	Fort Snelling, Tower Avenue, Saint Paul, MN	2141663	70503
Hanford Site, Benton County, WA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1460907	47815
Toltec Mounds, Scott, AR	Taliesin, County Road C, Spring Green, Wisconsin	1207562	41231
Mount Vernon, Fairfax County, Virginia	The Breakers, Ochre Point Avenue, Newport, RI	674921	25598
The Breakers, Ochre Point Avenue, Newport, RI	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1768359	60417
Maryland State House, 100 State Cir, Annapolis, MD 21401	Terrace Hill, Grand Avenue, Des Moines, IA	1677820	56114
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	White House, Pennsylvania Avenue Northwest, Washington, DC	1754471	60099
Gateway Arch, Washington Avenue, St Louis, MO	Grand Canyon National Park, Arizona	2337437	75916
Maryland State House, 100 State Cir, Annapolis, MD 21401	Grand Canyon National Park, Arizona	3681693	121504
White House, Pennsylvania Avenue Northwest, Washington, DC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1065846	36702
Acadia National Park, Maine	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2251908	76557
Shelburne Farms, Harbor Road, Shelburne, VT	Statue of Liberty, Liberty Island, NYC, NY	482631	18807
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Congress Hall, Congress Place, Cape May, NJ 08204	2439784	82776
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Cape Canaveral, FL	1541352	49591
Liberty Bell, 6th Street, Philadelphia, PA	Glacier National Park, West Glacier, MT	3749138	126015
Hoover Dam, NV	Hanford Site, Benton County, WA	1544508	53061
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1118702	40397
Statue of Liberty, Liberty Island, NYC, NY	Yellowstone National Park, WY 82190	3564304	121494
Liberty Bell, 6th Street, Philadelphia, PA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	918830	31474
Hoover Dam, NV	Congress Hall, Congress Place, Cape May, NJ 08204	4119610	135376
Yellowstone National Park, WY 82190	Grand Canyon National Park, Arizona	1676584	62624
White House, Pennsylvania Avenue Northwest, Washington, DC	Gateway Arch, Washington Avenue, St Louis, MO	1314882	45278
Liberty Bell, 6th Street, Philadelphia, PA	Olympia Entertainment, Woodward Avenue, Detroit, MI	954657	32211
The Alamo, Alamo Plaza, San Antonio, TX	Fort Snelling, Tower Avenue, Saint Paul, MN	2009193	65224
Congress Hall, Congress Place, Cape May, NJ 08204	Ashfall Fossil Bed, Royal, NE	2346252	79330
The Alamo, Alamo Plaza, San Antonio, TX	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1607714	55413
San Andreas Fault, San Benito County, CA	Congress Hall, Congress Place, Cape May, NJ 08204	4627188	154888
Gateway Arch, Washington Avenue, St Louis, MO	Bryce Canyon National Park, Hwy 63, Bryce, UT	2233286	74274
USS Alabama, Battleship Parkway, Mobile, AL	Hoover Dam, NV	2863881	95190
Carlsbad Caverns National Park, Carlsbad, NM	New Castle Historic District, Delaware	3080949	102718
Carlsbad Caverns National Park, Carlsbad, NM	The Alamo, Alamo Plaza, San Antonio, TX	744328	24774
Carlsbad Caverns National Park, Carlsbad, NM	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	3409625	114116
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	USS Constitution, Boston, MA	252168	9262
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	The Breakers, Ochre Point Avenue, Newport, RI	145948	6580
Shelburne Farms, Harbor Road, Shelburne, VT	Gateway Arch, Washington Avenue, St Louis, MO	1771669	62865
Hoover Dam, NV	Pikes Peak, Colorado	1340383	48084
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Hanford Site, Benton County, WA	2663833	88127
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Hoover Dam, NV	2221666	72180
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Bryce Canyon National Park, Hwy 63, Bryce, UT	1428103	49376
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Hoover Dam, NV	1725052	57872
Liberty Bell, 6th Street, Philadelphia, PA	French Quarter, New Orleans, LA	1966860	64812
Graceland, Elvis Presley Boulevard, Memphis, TN	Fort Sumter National Monument, Sullivan's Island, SC	1085019	37049
San Andreas Fault, San Benito County, CA	Cape Canaveral, FL	4353460	140580
Carlsbad Caverns National Park, Carlsbad, NM	Columbia River Gorge National Scenic Area, Oregon	2513819	86263
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	French Quarter, New Orleans, LA	992591	32467
Olympia Entertainment, Woodward Avenue, Detroit, MI	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1589800	53148
White House, Pennsylvania Avenue Northwest, Washington, DC	Congress Hall, Congress Place, Cape May, NJ 08204	305791	12592
USS Alabama, Battleship Parkway, Mobile, AL	Hanford Site, Benton County, WA	4062365	134901
Graceland, Elvis Presley Boulevard, Memphis, TN	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1033227	35111
Hoover Dam, NV	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4502342	150225
Mount Vernon, Fairfax County, Virginia	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1287840	44426
White House, Pennsylvania Avenue Northwest, Washington, DC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3536172	118676
Acadia National Park, Maine	French Quarter, New Orleans, LA	2873753	96557
Liberty Bell, 6th Street, Philadelphia, PA	Yellowstone National Park, WY 82190	3510500	119597
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Statue of Liberty, Liberty Island, NYC, NY	2389840	81201
Terrace Hill, Grand Avenue, Des Moines, IA	Columbia River Gorge National Scenic Area, Oregon	2718173	88879
Craters of the Moon National Monument & Preserve, Arco, ID	Fort Sumter National Monument, Sullivan's Island, SC	3826721	130529
Pikes Peak, Colorado	Columbia River Gorge National Scenic Area, Oregon	2000331	68124
USS Constitution, Boston, MA	Fort Sumter National Monument, Sullivan's Island, SC	1565146	53092
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2651812	90553
Shelburne Farms, Harbor Road, Shelburne, VT	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1931082	66398
Shelburne Farms, Harbor Road, Shelburne, VT	Congress Hall, Congress Place, Cape May, NJ 08204	705151	26096
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Bryce Canyon National Park, Hwy 63, Bryce, UT	4116138	137739
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3364703	110452
San Andreas Fault, San Benito County, CA	Columbia River Gorge National Scenic Area, Oregon	1422480	51178
Hoover Dam, NV	Cape Canaveral, FL	3740708	122644
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Congress Hall, Congress Place, Cape May, NJ 08204	1944478	65822
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1454086	47592
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	USS Alabama, Battleship Parkway, Mobile, AL	2464269	88913
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Lost World Caverns, Lewisburg, WV	2688168	89272
Craters of the Moon National Monument & Preserve, Arco, ID	Yellowstone National Park, WY 82190	1038140	43130
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Craters of the Moon National Monument & Preserve, Arco, ID	2028613	71849
The Breakers, Ochre Point Avenue, Newport, RI	Pikes Peak, Colorado	3240053	109812
Maryland State House, 100 State Cir, Annapolis, MD 21401	Olympia Entertainment, Woodward Avenue, Detroit, MI	880816	29904
Toltec Mounds, Scott, AR	Hoover Dam, NV	2311502	74749
Craters of the Moon National Monument & Preserve, Arco, ID	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2828572	98050
Carlsbad Caverns National Park, Carlsbad, NM	Ashfall Fossil Bed, Royal, NE	1558852	57193
Shelburne Farms, Harbor Road, Shelburne, VT	Acadia National Park, Maine	547393	24112
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Bryce Canyon National Park, Hwy 63, Bryce, UT	3551069	117650
USS Alabama, Battleship Parkway, Mobile, AL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3854134	123730
Gateway Arch, Washington Avenue, St Louis, MO	Olympia Entertainment, Woodward Avenue, Detroit, MI	882365	29216
USS Constitution, Boston, MA	Gateway Arch, Washington Avenue, St Louis, MO	1897134	63962
Maryland State House, 100 State Cir, Annapolis, MD 21401	Craters of the Moon National Monument & Preserve, Arco, ID	3715889	126961
San Andreas Fault, San Benito County, CA	Fort Sumter National Monument, Sullivan's Island, SC	4104867	136717
Wright Brothers National Memorial Visitor Center, Manteo, NC	Grand Canyon National Park, Arizona	3806621	125257
White House, Pennsylvania Avenue Northwest, Washington, DC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1637695	53794
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Pikes Peak, Colorado	3113513	104734
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Alamo, Alamo Plaza, San Antonio, TX	2569797	86586
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Columbia River Gorge National Scenic Area, Oregon	3052014	98996
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	White House, Pennsylvania Avenue Northwest, Washington, DC	1090046	36907
USS Alabama, Battleship Parkway, Mobile, AL	Carlsbad Caverns National Park, Carlsbad, NM	1722349	58739
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	The Alamo, Alamo Plaza, San Antonio, TX	1641094	54646
USS Alabama, Battleship Parkway, Mobile, AL	The Breakers, Ochre Point Avenue, Newport, RI	2203469	74772
Hoover Dam, NV	The Alamo, Alamo Plaza, San Antonio, TX	2013190	64450
Carlsbad Caverns National Park, Carlsbad, NM	French Quarter, New Orleans, LA	1583432	52803
Toltec Mounds, Scott, AR	San Andreas Fault, San Benito County, CA	2818825	94401
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Craters of the Moon National Monument & Preserve, Arco, ID	2978935	101755
Carlsbad Caverns National Park, Carlsbad, NM	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2129715	69599
Gateway Arch, Washington Avenue, St Louis, MO	Columbia River Gorge National Scenic Area, Oregon	3130826	103169
